Review Id,Feature 1:Picture Quality,Feature 2:Sound Quality,Feature 3:Connectivity,Feature 4:Price
1,Highly Satisfactory,Nice,Good,Worth it
2,Moderate,Medium,Average,Satisfactory
3,Unsatisfactory,Poor,Inadequate,Futile
4,Moderate,Medium,Good,Satisfactory
5,Highly Satisfactory,Nice,Good,Worth it
6,Unsatisfactory,Poor,Inadequate,Futile
7,Highly Satisfactory,Nice,Good,Worth it
8,Highly Satisfactory,Nice,Good,Worth it
9,Highly Satisfactory,Nice,Good,Satisfactory
10,Unsatisfactory,Poor,Inadequate,Futile
11,Unsatisfactory,Medium,Good,Satisfactory
12,Highly Satisfactory,Nice,Good,Worth it
13,Highly Satisfactory,Nice,Average,Satisfactory
14,Unsatisfactory,Medium,Average,Satisfactory
15,Highly Satisfactory,Nice,Good,Worth it
16,Highly Satisfactory,Nice,Good,Worth it
17,Highly Satisfactory,Medium,Good,Worth it
18,Highly Satisfactory,Medium,Average,Worth it
19,Unsatisfactory,Medium,Inadequate,Futile
20,Highly Satisfactory,Nice,Average,Satisfactory
21,Unsatisfactory,Poor,Inadequate,Futile
22,Moderate,Medium,Average,Worth it
23,Unsatisfactory,Poor,Inadequate,Futile
24,Moderate,Medium,Inadequate,Futile
25,Moderate,Medium,Good,Worth it
26,Moderate,Poor,Inadequate,Futile
27,Highly Satisfactory,Nice,Good,Worth it
28,Highly Satisfactory,Nice,Good,Satisfactory
29,Highly Satisfactory,Nice,Good,Worth it
30,Highly Satisfactory,Nice,Average,Satisfactory
31,Moderate,Poor,Inadequate,Satisfactory
32,Highly Satisfactory,Poor,Average,Satisfactory
33,Moderate,Medium,Average,Satisfactory
34,Highly Satisfactory,Medium,Average,Worth it
35,Highly Satisfactory,Nice,Good,Satisfactory
36,Highly Satisfactory,Nice,Average,Worth it
37,Moderate,Nice,Average,Satisfactory
38,Highly Satisfactory,Medium,Good,Worth it
39,Highly Satisfactory,Nice,Good,Worth it
40,Moderate,Medium,Average,Satisfactory
41,Highly Satisfactory,Nice,Good,Worth it
42,Highly Satisfactory,Nice,Good,Satisfactory
43,Highly Satisfactory,Medium,Good,Satisfactory
44,Moderate,Medium,Average,Satisfactory
45,Highly Satisfactory,Nice,Good,Worth it
46,Highly Satisfactory,Nice,Good,Worth it
47,Moderate,Medium,Good,Worth it
48,Highly Satisfactory,Medium,Average,Satisfactory
49,Moderate,Nice,Good,Worth it
50,Unsatisfactory,Poor,Inadequate,Futile
51,Highly Satisfactory,Nice,Good,Satisfactory
